Group,Logged,Name,Source,Rate / True rate,Timeout,Default Value,Condition,Pretrigger,Telemetry,Datatype,Description
PDM,TRUE,PDM_dataVoltAvg,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_dataVoltMax,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_dataVoltMin,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_fuelCurrentAvg,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_fuelCurrentMax,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_fuelCurrentMin,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_fuelVoltAvg,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_fuelVoltMax,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_fuelVoltMin,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_mainVoltAvg,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_mainVoltMax,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_mainVoltMin,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_pdmCurrentAvg,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_pdmCurrentMax,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_pdmCurrentMin,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_pdmVoltAvg,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_pdmVoltMax,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_pdmVoltMin,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_status,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_wpCurrentAvg,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_wpCurrentMax,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_wpCurrentMin,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_wpOverrideStatus,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_wpPWM,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_wpStatus,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_wpVoltAvg,DDU7,20ms,,,,,None,,
PDM,TRUE,PDM_wpVoltMax,DDU7,20ms,,,,,None,,
USER,TRUE,USER_configDataPointNumber,DDU7,20ms,,,,,None,,
USER,TRUE,USER_configTorqueDataPoint,DDU7,20ms,,,,,None,,
USER,TRUE,USER_daqBoardState,DDU7,20ms,,,,,None,,
USER,TRUE,USER_daqSaveFlag,DDU7,20ms,,,,,None,,
USER,TRUE,USER_rpmRequest,DDU7,20ms,,,,,None,,
USER,TRUE,USER_throttleKd,DDU7,20ms,,,,,None,,
USER,TRUE,USER_throttleKi,DDU7,20ms,,,,,None,,
USER,TRUE,USER_throttleKp,DDU7,20ms,,,,,None,,
USER,TRUE,USER_throttleRequest,DDU7,20ms,,,,,None,,
USER,TRUE,USER_wpOverridePercent,DDU7,20ms,,,,,None,,
USER,TRUE,USER_wpOverrideStatus,DDU7,20ms,,,,,None,,
